楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,s1係数(CB無),s2係数(CB無),s3係数(CB無),s4係数(CB無),s5係数(CB無),s6係数(CB無),s外係数(CB無)
131,1,131_1,409,158.4,194.7,5,6.06,5.05,7.23,10.506,6.695,157.533,108.899,93,97,109,114,154,158,198,223,272,283,308,327,270,308,5,6,5,7.1,10.3,6.5,154.8
131,2,131_2,707,158.4,415.6,15.251,17.34,7.678,19.673,18.72,7.875,342.792,252.814,101,116,201,217,281,310,369,386,465,489,547,576,461,530,15.1,17,7.5,19.1,18,7.5,331.4
131,3,131_3,963,158.4,667,24.341,14.484,10.857,50.505,48.76,24.717,526.044,405.756,165,192,269,293,383,406,510,546,639,672,759,791,631,726,24.1,14.2,10.5,48.1,46,23.1,501
131,4,131_4,1520,158.4,1136.1,47.43,34.064,26.606,66.988,80.3,29.59,930.202,753.982,238,292,455,511,644,682,795,845,1010,1076,1257,1300,994,1145,46.5,31.7,25.1,62.1,73,26.9,870.8
131,5,131_5,1742,158.4,1488.8,50.47,42.105,39.697,82.84,86.9,39.38,1251.832,1030.402,281,345,524,582,744,794,932,983,1176,1242,1416,1467,1160,1333,49.2,39.1,37.1,76,79,35.8,1172.6
132,1,132_1,190,95.72414,87.6,6,5,5.5,6.6,6.363,4.04,54.394,40.961,5,19,35,39,46,55,82,93,105,113,126,129,80,98,6,5,5.5,6.6,5.3,3,56.2
132,2,132_2,368,95.72414,211.8,13,11.8,10.866,16.362,15.3,10.2,136.654,112.388,21,33,51,69,95,112,150,175,224,246,276,294,145,180,13,11.8,10.8,15.2,14,9,138
132,3,132_3,444,95.72414,340.6,14.2,17.863,27.169,20.604,20.849,21.63,224.294,169.446,22,46,85,109,151,182,235,256,297,317,355,373,230,273,14.2,17.8,26.9,19.2,20.3,21,221.2
132,4,132_4,619,95.72414,503.5,31.6,22.523,21.828,30.282,34.84,26.19,349.28,273.517,29,74,132,165,220,250,308,340,402,437,497,519,299,360,31.6,22.3,21.4,28.4,33.5,25,341.3
132,5,132_5,814,95.72414,665.5,38.8,33.431,36.776,40.976,38.64,40.386,460.53,359.441,30,75,144,195,275,332,410,450,531,572,633,676,400,481,38.8,33.1,35.8,38.4,36.8,37.1,445.5
132,6,132_6,1001,97.32414,891.2,33.8,30.615,58.269,49.4,58.085,62.916,635.914,467.919,40,92,168,203,274,324,406,455,546,601,704,758,390,488,33.8,30.3,56.8,45.5,53.1,57.8,613.9
133,1,133_1,147,115.4717,86.1,4,3.1,6.1,5.3,5.33,4.848,57.712,49.733,5,7,11,14,31,36,59,66,96,103,119,130,95,108,4,3.1,6.1,5.3,5.3,4.8,57.5
133,2,133_2,290,115.4717,179.1,4.7,9.1,10.201,9.191,8.568,12.342,126.927,110.607,42,52,72,81,101,110,141,150,204,215,247,257,202,230,4.7,9.1,10.1,9.1,8.4,12.1,125.6
133,3,133_3,588,115.4717,599.6,28,29.391,32.64,33.94,34.32,27.405,429.326,367.271,70,97,145,174,210,235,298,326,409,439,503,525,402,459,27,29.1,31,32,32,26.1,422.4
133,4,133_4,792,115.4717,830.5,34.13,32.442,44.982,42.59,41.055,37.22,627.853,531.125,80,113,171,203,254,291,398,434,543,580,680,709,535,613,33,32.1,43.1,40,38.1,34,610.2
133,5,133_5,938,115.4717,1033.8,50.3,39.882,57.68,54.08,62.56,46.44,767.881,660.511,81,128,205,244,304,343,453,500,655,702,817,852,639,731,49,39.1,55,50,57,42,741.7
134,1,134_1,169,93.62637,112.6,4.7,4,9.3,8,9.292,8.686,69.098,59.301,9,19,31,34,57,67,93,100,121,130,139,152,117,132,4.7,4,9.3,8,9.2,8.6,68.8
134,2,134_2,280,93.62637,224.6,13.3,12.8,15.15,14.746,19.788,15.606,135.529,117.577,17,31,47,66,118,131,161,178,214,230,243,257,213,240,13.3,12.8,15,14.6,19.4,15.3,134.2
134,3,134_3,501,93.62637,440.1,23.2,23.533,24.967,30.283,29.253,30.576,287.309,251.315,58,81,110,134,188,213,280,310,372,401,438,464,371,420,23.2,23.3,24.6,29.6,28.4,29.4,281.6
134,4,134_4,726,93.62637,656.8,29.3,31.613,40.8,49.392,43.995,43.036,439.533,378.429,70,100,140,172,249,291,394,439,534,578,632,671,533,604,29.3,31.3,40,47.6,41.9,40.6,426.1
134,5,134_5,898,93.62637,855.6,45.854,53.346,50.306,56.28,59.417,49.067,576.287,502.405,103,150,201,253,357,406,509,560,681,737,788,832,675,763,45.4,52.3,48.8,53.6,55.7,45.6,554.2
134,6,134_6,1159,93.62637,1296.3,52.671,80.988,62.504,90.1,119.2,83.82,876.756,729.356,86,145,215,269,421,493,618,682,847,933,1013,1077,837,952,52.3,79.4,60.1,85,110,76.2,833.3
135,1,135_1,283,120.92871,154.9,4,4,8.686,8.484,5.454,8.874,117.225,76.221,82,85,91,94,128,141,157,168,181,198,209,223,126,152,4,4,8.6,8.4,5.4,8.7,115.8
135,2,135_2,448,120.92871,330,8,10.403,14.23,24.48,10.918,24.72,244.397,166.675,88,95,118,130,196,209,237,254,310,325,344,361,192,235,8,10.3,14,24,10.6,24,239.1
135,3,135_3,741,120.92871,616,21.51,23.735,28.866,36.05,22.88,34.86,468.167,317.323,76,101,133,160,227,255,306,335,472,489,536,565,219,291,21.5,21.5,27.3,34,21,32.2,458.5
135,4,135_4,1099,120.92871,1116.2,38.077,37.455,51.673,58.62,50.232,70.581,868.494,561.334,101,143,192,235,352,407,495,545,674,711,795,851,340,448,37.7,34.8,48.1,55,46.2,63.4,831
135,5,135_5,1288,120.92871,1335.1,48.076,39.474,65.728,77.166,45.684,79.028,1060.379,712.759,127,178,234,277,418,480,583,642,814,875,961,1021,404,532,46.6,36.7,61.2,71.1,41.3,70.3,1007.9
136,1,136_1,250,123.42857,137.2,5,6.5,3.6,10.302,4.04,9.63,99.218,78.298,13,17,29,48,68,76,106,116,155,158,195,208,193,217,5,6.5,3.6,10.2,4,9.5,98.4
136,2,136_2,564,123.42857,331.1,16,10.807,6.63,23.46,22.66,21.91,238.025,184.99,69,84,136,161,216,244,275,296,340,361,487,507,482,536,16,10.7,6.5,23,21,21,232.9
136,3,136_3,823,123.42857,562,29.29,33.15,9.064,30.264,15.109,28.034,440.156,341.713,135,159,237,267,319,361,406,435,499,552,728,755,720,800,29,31.5,8.8,28.1,13.4,25.2,426
136,4,136_4,1234,123.42857,979.8,45.066,52.879,33.979,47.786,49.682,48.51,759.623,606.943,178,223,358,404,481,526,599,653,767,850,1058,1111,1046,1168,43.4,49.3,31.5,44.1,44.2,43.1,724.2
136,5,136_5,1502,123.42857,1255.9,69.36,68.505,36.782,65.381,55.43,66.66,980.491,780.181,233,298,459,523,625,689,779,854,1000,1080,1269,1343,1253,1402,67,63.6,32.7,58.7,49.4,58.6,925.9
137,1,137_1,157,108.52174,89.6,2,4,5.6,5.6,8.401,6.06,58.123,52.568,6,7,13,15,38,48,64,74,92,101,133,137,36,50,2,4,5.6,5.6,8.4,6,58
137,2,137_2,298,108.52174,197.7,8,10,9.696,13.332,12.24,9.384,136.857,121.149,27,34,62,71,104,127,156,170,210,219,234,260,99,125,8,10,9.6,13.2,12,9.2,135.7
137,3,137_3,565,108.52174,492,16.4,27.674,23.154,20.806,23.92,35.47,356.299,306.729,49,68,123,153,255,283,346,367,417,444,478,508,243,298,16.4,27.4,22.7,20.2,23,34,348.3
137,4,137_4,807,108.52174,765.9,32.22,38.773,44.393,33.816,36.889,42.65,564.309,481.848,69,102,181,220,346,389,477,512,590,628,686,722,331,411,32.2,38.2,43.1,32.4,34.9,40,545.1
137,5,137_5,878,108.52174,877.4,36.381,41.82,42.39,40.32,38.266,47.08,664.625,548.767,83,117,203,243,376,416,516,557,629,670,732,769,356,443,36.2,41,41,38.4,36.1,44,640.7
138,1,138_1,222,133.01205,138.3,4,5.4,7,4.04,8.383,5.05,105.103,93.861,9,12,33,50,92,96,106,109,148,157,171,174,146,167,4,5.4,7,4,8.3,5,104.6
138,2,138_2,466,133.01205,342.2,11,9.552,19.38,15.3,18.334,14.43,259.893,237.181,25,35,85,116,203,217,250,263,342,363,390,401,338,383,11,9.5,19,15,17.8,14,255.9
138,3,138_3,694,133.01205,722,21.4,34.68,33.269,32.344,23.31,34.026,564.517,498.691,76,100,201,229,324,352,427,456,538,558,602,630,532,599,21.4,34,32.3,31.1,22.2,32.1,548.9
138,4,138_4,1002,133.01205,1085.2,30.965,73.915,42.962,39.326,38.841,40.068,866.696,780.696,96,131,274,317,463,501,605,640,761,794,853,886,751,846,30.7,72.2,41.3,37.1,36.3,37.1,830.5
138,5,138_5,1251,133.01205,1307.3,40.905,78.06,46.535,53.68,49.813,60.61,1050.585,946.085,140,182,362,414,588,637,771,818,947,995,1069,1120,937,1062,40.5,75.6,44,50,45.7,55.1,996.4
138,6,138_6,1388,133.01205,1142,28.737,70.96,61.71,52.866,42.46,63.47,900.361,773.091,123,226,479,512,661,716,874,935,1077,1125,1197,1247,1063,1201,28.4,68,58.1,48.7,38.6,57.7,842.5
139,1,139_1,182,136.61538,102.1,3,3,3,3.5,6.06,6.363,77.747,67.849,23,25,31,33,53,55,75,82,123,128,156,164,121,138,3,3,3,3.5,6,6.3,77.3
139,2,139_2,357,136.61538,261.4,12,10,12.322,8.484,12.24,10.702,199.262,163.511,56,66,86,94,113,125,144,164,249,260,300,313,245,279,12,10,12.2,8.4,12,10.4,196.4
139,3,139_3,594,136.61538,553.3,23.2,20.2,20.27,19.89,25.168,23.1,435.716,362.321,60,83,134,152,189,207,245,277,415,436,513,529,407,465,23.2,20,20,19.5,24.2,22,424.4
139,4,139_4,932,136.61538,893.5,34.744,29.784,34.814,40.738,39.962,40.94,712.069,596.235,107,142,215,243,303,341,398,434,624,661,796,832,611,704,34.4,29.2,33.8,39.2,37.7,38,681.2
139,5,139_5,1140,136.61538,1211.6,43.026,40.074,45.66,44.31,50.893,53.818,1000.189,838.349,139,184,271,309,393,443,522,559,784,827,980,1019,767,880,42.6,39.2,44,42.2,47.3,49.2,947.1
140,1,140_1,162,101.77215,99.8,7,4.7,4,4.7,4.1,7.676,68.07,36.154,9,13,18,28,40,43,48,58,70,83,108,120,106,121,7,4.7,4,4.7,4.1,7.6,67.7
140,2,140_2,267,101.77215,245.9,14,12,11.11,12.12,12.322,14.847,171.869,103.641,38,50,72,83,101,111,127,138,153,162,178,198,174,200,14,12,11,12,12.2,14.7,170
140,3,140_3,484,101.77215,490.5,39,21.311,22.624,21.522,29.58,17.819,347.591,228.297,37,61,103,124,156,181,221,242,270,294,337,365,330,377,39,21.1,22.4,21.1,29,17.3,340.6
140,4,140_4,704,101.77215,737.8,52,32.421,31.926,33.063,53.91,33.271,522.902,350.196,58,95,150,182,233,266,317,349,390,428,496,542,484,554,52,32.1,31.3,32.1,52,31.7,506.6
140,5,140_5,802,101.77215,851.3,57.19,36.702,38.178,37.386,58.24,36.493,616.497,407.616,73,115,177,214,276,315,373,410,462,500,564,613,551,631,57,36.2,37.3,36.2,56,34.7,593.9
141,1,141_1,199,95.71429,104.3,4,4,4,8.181,8.282,14.746,61.701,56.146,37,40,45,48,67,70,114,122,135,144,165,178,113,131,4,4,4,7,7.1,13.6,64.6
141,2,141_2,344,95.71429,226.3,14,13,16.16,22.42,16.32,12.551,134.834,117.829,52,64,78,89,112,126,199,216,244,273,295,317,198,231,13,12,15,21,16,11.2,138.1
141,3,141_3,475,95.71429,333,19,22.624,22.624,22.938,22.248,20.384,210.24,176.44,52,77,111,139,170,194,284,307,337,379,407,442,282,328,18,22.4,21.4,19.4,20.6,19.6,211.6
141,4,141_4,711,95.71429,559.8,34.995,40.253,39.984,41.912,34.125,30.422,356.4,311.966,74,114,161,210,252,299,454,493,542,576,610,664,451,522,32.9,37.8,37.2,35.3,31.5,28.7,356.4
141,5,141_5,833,95.71429,684.5,40.405,46.014,50.882,47.88,54.908,34.775,436.783,397.453,88,135,194,243,305,354,534,581,639,685,731,793,529,610,38.1,43.2,47.4,40.6,49.8,32.5,432.9
142,1,142_1,124,101.05263,54,3,3,2.6,2.7,4,4,34.769,27.8,31,33,37,39,42,49,61,69,85,88,96,99,83,94,3,3,2.5,2.6,4,4,34.9
142,2,142_2,221,101.05263,165.8,5.3,5.3,7.4,7.4,15.251,15.251,110.937,87.641,23,30,43,50,56,66,84,94,126,141,165,180,119,141,5.3,5.3,7.4,7.4,15.1,15.1,110.2
142,3,142_3,308,101.05263,273.2,13.9,13.91,9.898,13.13,20.604,20.604,184.348,156.995,31,52,80,101,117,132,158,170,212,229,251,268,204,233,13.9,13.9,9.8,13,20.2,20.2,182.2
142,4,142_4,458,101.05263,382.7,19.7,18.887,14.14,21.012,29.973,30.063,256.564,216.41,56,80,117,141,165,186,225,250,321,346,382,407,305,350,19.7,18.7,14,20.6,29.1,29.1,251.5
142,5,142_5,547,101.05263,488.9,28.4,26.664,17.211,23.052,41.2,41.6,322.382,274.376,56,85,125,154,181,205,250,277,363,398,451,486,340,393,28.4,26.4,17,22.6,40,40,314.5
143,1,143_1,177,129.23077,99.9,3,3,6,5.3,6.06,5.353,71.652,63.269,4,6,15,17,53,57,70,86,127,132,158,165,125,141,3,3,6,5.3,6,5.3,71.3
143,2,143_2,371,129.23077,253.9,8.1,8.6,12.625,12.857,11.22,24.102,180.186,163.706,41,49,81,92,136,149,187,203,268,278,317,335,262,298,8.1,8.6,12.5,12.7,11,23.4,177.6
143,3,143_3,638,129.23077,490.4,21.1,17.069,20.298,21.939,24.128,28.665,371.339,325.118,59,89,155,188,250,280,326,365,460,484,564,587,454,516,21.1,16.9,19.9,21.3,23.2,27.3,360.7
143,4,143_4,896,129.23077,821.5,29.1,36.885,42.127,35.152,40.492,43.364,627.742,550.502,59,88,186,224,321,360,441,488,627,666,787,820,615,703,29.1,36.3,40.9,33.8,38.2,40.3,602.9
143,5,143_5,1089,129.23077,1032.7,37.024,45.216,47.528,53.99,47.769,46.434,808.097,713.71,83,126,257,303,431,475,573,623,780,827,947,985,766,873,36.8,44.3,45.7,51.2,44.4,42.6,767.7
144,1,144_1,159,120,95.5,3,4,3,5.3,7.373,6.363,66.848,55.132,23,25,31,43,67,69,78,85,105,113,133,141,77,91,3,4,3,5.3,6.3,5.3,68.6
144,2,144_2,291,120,210.6,9,10.3,6.969,10.807,13.857,9.792,151.855,119.725,36,44,68,80,104,118,141,157,185,202,231,245,139,167,8,9.3,5.9,9.7,12.7,8.6,156.4
144,3,144_3,457,120,389.1,16.9,20.2,13.872,17.748,18.952,17.748,291.191,238.131,56,80,140,159,202,220,267,287,325,344,385,405,266,310,16.9,20,13.6,16.4,17.4,16.2,288.6
144,4,144_4,643,120,607.3,24.962,25.918,20.094,23.896,24.128,28.56,477.263,381.237,76,108,178,208,272,297,361,385,450,472,539,564,360,424,24.9,25.6,17.7,22.2,22.2,23.2,471.5
144,5,144_5,814,120,831.9,37.562,34.68,39.861,38.896,41.38,31.114,638.275,516.231,100,138,214,247,321,356,446,486,561,601,685,712,442,522,35.2,32,36.7,35.4,37.4,25.2,630
145,1,145_1,216,124.73684,117,4,4,4,8.1,10.504,8.989,78.033,69.019,5,8,29,32,53,56,70,77,139,149,176,191,137,155,4,4,4,8.1,10.4,8.9,77.6
145,2,145_2,372,124.73684,273.2,8.6,8.3,11,14.342,17.85,22.866,194.147,170.251,11,24,47,57,83,92,131,145,267,283,314,331,263,299,8.6,8.3,11,14.2,17.5,22.2,191.4
145,3,145_3,649,124.73684,603.3,22.2,25.654,31.165,23.437,32.28,41.16,444.698,381.172,33,55,105,131,179,212,288,316,498,522,572,594,488,551,22.2,25.4,30.8,22.9,30.8,39.2,432
145,4,145_4,972,124.73684,939.6,33.2,38.683,43.274,37.96,54.677,67.284,706.521,611.397,45,78,158,197,281,321,408,445,723,761,836,879,708,804,33.2,38.3,42.2,36.5,51.1,62.3,676
145,5,145_5,1138,124.73684,1130.1,43.2,49.176,45.938,50.785,59.94,81.597,859.272,753.872,53,96,192,240,339,385,491,539,854,895,988,1038,838,950,43.2,48.3,44.6,48.5,55.5,74.3,815.7
146,1,146_1,304,130.90909,145.3,5.4,5.4,7.373,8.383,8.568,6.834,104.832,90.233,25,42,51,68,118,127,152,161,204,214,229,241,116,144,5.4,5.4,7.3,8.3,8.4,6.7,103.8
146,2,146_2,480,130.90909,270.2,9.4,11.435,12.544,15.3,13.39,11.433,201.612,177.268,33,63,85,108,187,202,247,259,339,351,378,398,183,228,9.4,11.4,12.4,15,13,11.1,197.9
146,3,146_3,612,130.90909,548.6,25.8,17.271,21.93,25.235,27.352,19.95,424.991,385.805,41,72,136,152,267,291,345,370,450,472,518,531,260,320,25.8,17.1,21.5,24.5,26.3,19,414.4
146,4,146_4,903,130.90909,800.3,36.321,23.664,32.74,32.13,43.354,36.808,628.24,556.401,89,123,216,257,399,433,505,537,653,691,756,795,387,474,36.1,23.2,31.5,30.6,40.9,34.4,603.6
146,5,146_5,1206,130.90909,1180.9,51.168,59.602,44.965,47.488,67.444,60.036,910.508,817.078,89,144,261,312,478,527,634,689,853,905,988,1042,464,583,50.8,58.3,43,44.8,62.4,54.7,866.9
147,1,147_1,163,136.47059,86.1,3,3,3.7,5,4.3,6.138,61.098,53.2,5,7,13,15,28,37,53,57,78,84,97,110,76,90,3,3,3.7,5,4.3,6.1,61
147,2,147_2,306,136.47059,185.8,9,9.2,6.021,9.292,9.18,6.222,138.716,126.359,21,28,52,62,89,103,147,157,214,222,242,255,211,240,9,9.2,6,9.2,9,6.1,137.3
147,3,147_3,489,136.47059,353.4,17.5,13.4,8.888,17.748,21.012,11.232,270.313,234.017,20,39,85,99,156,180,240,258,324,356,412,438,314,361,17.5,13.4,8.8,16.4,20.4,10.8,266.1
147,4,147_4,714,136.47059,547.9,24.6,20.604,24.888,28.325,28.035,24.168,413.157,365.107,50,77,141,160,235,262,349,378,511,543,610,638,502,572,24.6,20.4,23.4,25.5,26.7,22.8,404.5
147,5,147_5,1005,136.47059,803.8,30.6,33.489,44.084,38.485,34.882,35.424,621.451,545.596,54,86,187,224,339,386,498,538,716,762,854,890,701,800,30.6,33,41.8,34.7,32.6,32.8,598.3
148,1,148_1,213,129.09091,103.5,3,3,3,3,6.464,7.373,78.314,43.952,19,21,27,29,61,63,95,97,104,113,125,133,103,123,3,3,3,3,6.4,7.3,77.8
148,2,148_2,333,129.09091,283.6,14,13.2,13.261,10.504,14.241,16.422,205.096,120.895,31,42,60,73,94,107,127,139,173,187,207,221,171,203,13,12.2,12.2,10.4,13.1,15.1,207.6
148,3,148_3,597,129.09091,477.9,24.1,20.604,18.584,19.89,17.922,18.849,369.746,209.351,32,54,106,127,168,189,226,247,306,326,374,394,302,360,23.1,19.4,17.4,19.5,16.4,17.3,364.8
148,4,148_4,978,129.09091,793.3,40.984,32.967,32.548,34.008,33.075,34.45,621.218,354.663,66,112,192,225,302,338,411,447,533,568,625,660,525,622,38.9,30.4,29.6,32.7,29.5,30.5,601.7
148,5,148_5,1092,129.09091,897.5,43.894,39.168,38.522,43.056,40.855,47.829,690.827,400.595,87,133,217,256,341,381,456,498,594,637,713,760,585,692,41.6,36.4,35.4,39.4,36.6,42.7,665.4
149,1,149_1,213,110.88608,97.1,4,4,7.6,6.262,3.737,3.737,68.26,59.35,45,48,52,55,77,89,122,138,148,157,170,179,75,94,4,4,7.6,6.2,3.7,3.7,67.9
149,2,149_2,312,110.88608,222,10,11.403,12.322,12.423,10.506,10.506,157.071,138.792,73,82,100,113,133,146,184,198,214,235,255,276,130,159,10,11.3,12.2,12.3,10.3,10.3,155.6
149,3,149_3,405,110.88608,385.6,19.8,20.2,18.483,35.292,20.6,20.6,256.631,229.398,72,98,130,145,171,191,251,282,310,326,359,375,166,206,19.8,20,18.3,34.6,20,20,252.9
149,4,149_4,522,110.88608,494.1,26.563,28.482,26.826,37.801,26.44,26.52,332.107,295.003,112,138,170,195,229,257,325,359,393,419,457,483,221,272,26.3,28.2,26.3,36.7,25.5,25.5,325.6
149,5,149_5,703,110.88608,695.5,39.693,36.822,38.419,42.952,45.15,45.58,468.902,407.719,135,172,216,248,314,353,441,478,520,559,601,640,303,373,39.3,36.1,37.3,41.3,43,43,455.5
149,6,149_6,1020,110.88608,480.5,35.71,25.75,27.144,29.848,17.548,23.88,342.753,304.88,274,301,333,372,429,473,593,622,719,756,839,903,412,513,35,25,26.1,28.2,16.4,22.1,327.7
150,1,150_1,129,103,69.8,3,3.8,4,3.3,6.3,3.03,46.57,42.227,7,9,23,33,45,47,51,56,90,98,119,121,89,99,3,3.8,4,3.3,5.3,3,47.4
150,2,150_2,243,103,175.3,11,13.1,12.12,9.797,9.09,7.956,113.657,98.459,28,38,65,76,101,111,125,139,171,179,211,225,169,192,10,12.1,11,8.7,8,6.8,118.7
150,3,150_3,543,103,515.5,36.6,17.473,33.702,43.99,28.99,31.34,336.009,296.099,57,93,147,166,197,237,288,325,391,412,487,510,386,439,34.6,15.3,32.1,41.8,26,27,338.7
150,4,150_4,780,103,703.2,42.08,24.644,42.024,53.457,49.14,42.897,473.725,421.178,72,106,169,196,237,277,333,379,552,594,700,734,544,621,40,22.4,40.2,50.9,43.8,36.1,469.8
150,5,150_5,859,103,895,58.32,40.036,62.59,59.7,51.94,64.387,594.075,511.769,80,126,196,233,283,330,393,438,616,657,768,806,608,692,56,37.3,60,56.5,47,58.1,580.1
150,6,150_6,997,103,1065.4,75.57,44.88,78.28,76.554,62.02,74.304,702.566,607.29,87,143,222,263,324,375,445,501,699,749,882,931,688,787,71,41,75,72.6,56,65.4,684.4
151,1,151_1,232,103.24022,113.3,4,4,4,8.383,7.07,10.1,76.442,64.465,9,12,35,38,57,60,104,114,132,138,182,187,97,119,4,4,4,8.3,7,10,76
151,2,151_2,354,103.24022,227.8,12,8.6,12.6,15.049,28.764,16.44,136.973,118.938,17,26,51,64,75,92,146,177,212,251,298,307,137,167,12,8.6,12.6,14.9,28.2,16,135.5
151,3,151_3,559,103.24022,401.5,21.2,22.119,22.338,23.381,20.188,28.392,271.407,244.168,59,77,138,165,206,233,302,325,363,384,438,461,290,343,21.2,21.9,21.9,22.7,19.6,27.3,266.9
151,4,151_4,750,103.24022,670,36.323,35.342,36.637,37.648,40.74,44.52,460.484,395.738,73,114,194,239,284,330,422,463,525,563,646,675,403,476,36.2,34.7,35.7,36.2,38.8,42,446.4
151,5,151_5,903,103.24022,784.5,48.094,37.536,38.831,40.11,49.396,50.96,551.144,478.732,81,130,221,278,325,376,546,586,658,696,781,820,523,612,47.8,36.8,37.7,38.2,46.6,47.4,530
151,6,151_6,1070,103.24022,721.9,44.377,34.292,36.721,42.879,42.479,45.126,508.715,432.014,95,140,237,302,359,408,570,642,749,797,917,969,535,641,44,33.6,35.6,40.6,39.7,41.4,487
152,1,152_1,169,114.2069,108.1,4,4,4,7,7.676,7.474,74.38,64.684,5,8,27,30,42,45,74,80,102,114,134,144,72,87,4,4,4,7,7.6,7.4,74.1
152,2,152_2,323,114.2069,251.9,7,8,8,14.14,13.934,23.46,180.184,168.674,17,23,48,55,73,80,150,162,198,215,265,279,146,177,7,8,8,14,13.7,23,178.2
152,3,152_3,553,114.2069,495.8,21,23.7,25.957,23.896,26.87,28.912,356.552,325.658,15,35,68,97,146,177,304,326,386,409,468,494,298,350,21,23.7,25.7,23.2,26,27.8,348.4
152,4,152_4,811,114.2069,760.9,26,28.179,38.76,40.56,38.43,49.584,566.027,506.715,23,48,113,148,210,256,416,451,541,580,676,726,406,485,26,27.9,38,39,36.6,46.6,546.8
152,5,152_5,1044,114.2069,1023.1,34.2,42.42,49.053,47.88,56.924,59.77,779.703,698.735,37,72,140,181,258,312,529,575,702,752,889,944,514,617,34.2,42,48,45.6,53.2,55,745.1
153,1,153_1,200,153.75,118.4,3,7,4.2,7,6.06,3.03,88.583,73.736,9,11,17,21,31,45,70,74,105,109,140,142,104,122,3,7,4.2,7,6,3,88.2
153,2,153_2,405,153.75,280.6,7,11.4,13.292,11.514,12.75,10.569,217.775,182.937,37,43,57,69,97,111,149,161,223,237,297,309,220,258,7,11.4,13.2,11.4,12.5,10.3,214.8
153,3,153_3,638,153.75,565.3,13.1,24.341,21.434,21.726,21.321,24.916,453.247,359.799,67,80,121,137,185,204,251,266,345,365,476,506,342,404,13.1,24.1,21.2,21.3,20.7,23.9,441
153,4,153_4,990,153.75,865.5,22.321,28.576,32.528,32.968,35.406,41.53,711.716,562.547,109,131,191,229,299,332,422,451,570,603,772,813,564,662,22.1,28.1,31.6,31.7,33.7,38.7,679.6
153,5,153_5,1106,153.75,1035.7,28.381,32.742,49.028,42.571,47.18,46.369,842.036,688.078,123,151,222,264,342,380,485,523,659,701,882,927,652,761,28.1,32.1,47.6,40.7,44.5,42.7,800
154,1,154_1,298,125.41353,135.9,5.6,5.454,4.04,8.383,11.118,4.08,98.715,90.555,63,82,102,119,140,143,187,197,211,227,259,262,185,212,5.6,5.4,4,8.3,10.9,4,97.7
154,2,154_2,389,125.41353,310.3,20.3,12.12,14.14,16.728,22.542,21.63,207.482,176.582,59,76,135,146,166,179,226,245,266,280,324,339,222,258,20.3,12,14,16.4,22.1,21,204.5
154,3,154_3,563,125.41353,512.9,32.3,24.072,20.91,27.192,32.24,38.48,350.051,308.933,70,94,207,234,270,294,351,376,410,428,466,493,345,401,32.3,23.6,20.5,26.4,31,37,342.1
154,4,154_4,884,125.41353,800,49.894,38.213,36.712,39.39,47.491,50.53,571.483,514.223,139,176,352,387,446,483,574,610,666,703,779,816,565,652,49.4,37.1,35.3,37.4,44.8,47,549
154,5,154_5,1164,125.41353,1113.7,63.63,48.88,51.26,60.348,60.48,68.02,822.358,718.918,143,186,429,472,547,602,733,788,859,899,985,1036,718,833,63,47,48.8,56.4,56,62,780.5
154,6,154_6,1643,126.67669,1411.1,79.301,53.848,51.77,99.44,109.56,96.8,1029.18,847.46,181,258,624,679,767,843,1045,1106,1197,1262,1370,1423,1029,1194,77.9,50.8,48.2,90.4,99.6,88,956.2
155,1,155_1,197,120,78.3,3,3,3.9,3.737,5.555,5.858,53.69,44.499,55,57,70,72,85,96,106,115,131,140,147,159,129,147,3,3,3.9,3.7,5.5,5.8,53.4
155,2,155_2,308,120,153.5,5.3,5.321,8.989,9.393,8.874,15.504,101.973,89.614,71,78,96,103,121,134,162,179,228,242,254,266,224,253,5.3,5.3,8.9,9.3,8.7,15.2,100.8
155,3,155_3,501,120,341.2,10.3,17.372,23.868,17.259,27.913,26,226.19,204.548,73,94,137,155,218,242,280,303,369,389,412,435,361,410,10.3,16.2,21.4,15.9,25.1,25,227.3
155,4,155_4,675,120,496.6,26.651,27.755,24.106,22.59,32.34,45.834,332.905,295.033,86,116,179,209,277,306,370,406,504,541,573,607,490,555,25.5,26.4,23.6,19.9,28.8,43.6,328.8
155,5,155_5,843,120,710.7,39.692,40.188,36.462,34.528,38.372,61.632,488.689,418.35,89,131,214,256,352,389,457,497,618,664,711,756,598,680,37.4,37.4,34.4,31.2,34.2,56.6,479.5
156,1,156_1,118,98.10219,73.4,4.3,3,4.3,6.6,7.31,3.03,45.033,37.963,5,20,26,28,40,55,77,88,93,101,110,112,75,84,4.3,3,4.3,6.6,7.3,3,44.9
156,2,156_2,251,98.10219,187.1,10.7,6,10.3,13.332,11.817,14.28,122.412,94.872,13,29,49,63,85,94,139,152,183,199,222,231,135,158,10.7,6,10.3,13.2,11.7,14,121.2
